Date,Product,Region,Sales,Customer_Feedback
2023-01-05,Ортопедические вставки,Север,128,"Хорошее качество, но ожидал большего эффекта"
2023-01-06,Ополаскиватель для рта,Юг,261,"Проблемы с зарядкой, но в целом нормальная"
2023-01-07,Зубная паста,Запад,127,"Очень понравился вкус, рекомендую"
2023-01-08,Зубная нить,Восток,288,"Нейтральный отзыв, работает как ожидалось"
2023-01-09,Ополаскиватель для рта,Север,243,"Отличное качество, довольны покупкой"
2023-01-10,Электрическая зубная щётка,Запад,240,"Проблемы с зарядкой, но в целом нормальная"
2023-01-11,Ортопедические вставки,Восток,232,"Хороший выбор, но цена немного завышена"
2023-01-12,Зубная паста,Запад,54,"Очень понравился вкус, рекомендую"
2023-01-13,Ортопедические вставки,Север,154,"Цена оправдана качеством, доволен покупкой"
2023-01-14,Зубная нить,Запад,47,Очень хороший эффект после использования
2023-01-15,Зубная паста,Центр,262,Очень хороший эффект после использования
2023-01-16,Ортопедические вставки,Запад,152,"Очень понравился вкус, рекомендую"
2023-01-17,Ортопедические вставки,Центр,121,"Отличное качество, довольны покупкой"
2023-01-18,Зубная нить,Восток,232,Очень хороший эффект после использования
2023-01-19,Зубная нить,Запад,201,"Нейтральный отзыв, стандартный продукт"
2023-01-20,Зубная нить,Запад,168,"Проблемы с зарядкой, но в целом нормальная"
2023-01-12,Зубная паста,Запад,54,"Очень понравился вкус, рекомендую"
2023-01-13,Ортопедические вставки,Север,154,"Цена оправдана качеством, доволен покупкой"
2023-01-14,Зубная нить,Запад,47,Очень хороший эффект после использования
2023-01-15,Зубная паста,Центр,262,Очень хороший эффект после использования
2023-01-16,Ортопедические вставки,Запад,152,"Очень понравился вкус, рекомендую"
2023-01-17,Ортопедические вставки,Центр,121,"Отличное качество, довольны покупкой"
2023-01-18,Зубная нить,Восток,232,Очень хороший эффект после использования
2023-01-19,Зубная нить,Запад,201,"Нейтральный отзыв, стандартный продукт"
2023-01-20,Зубная нить,Запад,168,"Проблемы с зарядкой, но в целом нормальная"
2023-01-12,Зубная паста,Запад,54,"Очень понравился вкус, рекомендую"
2023-01-13,Ортопедические вставки,Север,154,"Цена оправдана качеством, доволен покупкой"
2023-01-14,Зубная нить,Запад,47,Очень хороший эффект после использования
2023-01-15,Зубная паста,Центр,262,Очень хороший эффект после использования
2023-01-16,Ортопедические вставки,Запад,152,"Очень понравился вкус, рекомендую"
2023-01-17,Ортопедические вставки,Центр,121,"Отличное качество, довольны покупкой"
2023-01-18,Зубная нить,Восток,232,Очень хороший эффект после использования
2023-01-19,Зубная нить,Запад,201,"Нейтральный отзыв, стандартный продукт"
2023-01-20,Зубная нить,Запад,168,"Проблемы с зарядкой, но в целом нормальная"
2023-01-21,Ополаскиватель для рта,Юг,300,"Хорошее качество, но ожидал большего эффекта"
2023-01-22,Зубная нить,Запад,135,"Хороший выбор, но цена немного завышена"
2023-01-23,Зубная паста,Восток,53,Очень хороший эффект после использования
2023-01-24,Электрическая зубная щётка,Центр,250,"Очень понравился вкус, рекомендую"
2023-01-25,Зубная нить,Запад,162,"Нейтральный отзыв, работает как ожидалось"
2023-01-26,Зубная паста,Запад,258,"Хорошее качество, но ожидал большего эффекта"
2023-01-27,Зубная паста,Север,194,"Хорошее качество, но ожидал большего эффекта"
2023-01-28,Ополаскиватель для рта,Юг,216,"Нейтральный отзыв, работает как ожидалось"
2023-01-29,Зубная нить,Центр,293,Очень хороший эффект после использования
2023-01-30,Зубная паста,Центр,94,"Хорошее качество, но ожидал большего эффекта"
2023-01-31,Зубная нить,Север,155,"Нейтральный отзыв, стандартный продукт"
2023-02-01,Зубная нить,Юг,289,"Отличное качество, довольны покупкой"
2023-02-02,Ортопедические вставки,Запад,223,"Отличное качество, довольны покупкой"
2023-02-03,Ортопедические вставки,Запад,210,"Отлично, быстро расходуется и эффективно"
2023-02-04,Зубная нить,Восток,273,"Нейтральный отзыв, стандартный продукт"
2023-02-05,Зубная паста,Запад,197,"Хорошее качество, но ожидал большего эффекта"
2023-02-06,Ортопедические вставки,Запад,128,"Проблемы с зарядкой, но в целом нормальная"
2023-02-07,Ортопедические вставки,Запад,132,"Хороший выбор, но цена немного завышена"
2023-02-08,Зубная нить,Запад,80,"Нейтральный отзыв, стандартный продукт"
2023-02-09,Зубная паста,Центр,212,"Хороший выбор, но цена немного завышена"
2023-02-10,Ортопедические вставки,Север,162,"Очень понравился вкус, рекомендую"
2023-02-11,Ополаскиватель для рта,Юг,136,"Хорошее качество, но ожидал большего эффекта"
2023-02-12,Ополаскиватель для рта,Юг,81,"Хороший выбор, но цена немного завышена"
2023-02-13,Ополаскиватель для рта,Восток,223,"Проблемы с зарядкой, но в целом нормальная"
2023-02-14,Зубная нить,Восток,208,"Хороший выбор, но цена немного завышена"
2023-02-15,Ортопедические вставки,Центр,160,"Хороший выбор, но цена немного завышена"
2023-02-16,Зубная нить,Юг,108,"Нейтральный отзыв, работает как ожидалось"
2023-02-17,Зубная нить,Восток,141,"Цена оправдана качеством, доволен покупкой"
2023-02-18,Электрическая зубная щётка,Юг,260,"Отличное качество, довольны покупкой"
2023-02-19,Зубная нить,Юг,158,"Цена оправдана качеством, доволен покупкой"
2023-02-20,Ортопедические вставки,Север,112,Очень хороший эффект после использования
2023-02-21,Электрическая зубная щётка,Восток,109,"Отличное качество, довольны покупкой"
2023-02-22,Ортопедические вставки,Юг,213,"Нейтральный отзыв, стандартный продукт"
2023-02-23,Электрическая зубная щётка,Север,209,"Очень понравился вкус, рекомендую"
2023-02-24,Ополаскиватель для рта,Центр,135,"Цена оправдана качеством, доволен покупкой"
2023-02-25,Зубная паста,Север,282,"Хороший выбор, но цена немного завышена"
2023-02-26,Зубная нить,Восток,120,"Отлично, быстро расходуется и эффективно"
2023-02-27,Ополаскиватель для рта,Юг,188,"Цена оправдана качеством, доволен покупкой"
2023-02-28,Зубная нить,Центр,295,"Нейтральный отзыв, работает как ожидалось"
2023-03-01,Зубная нить,Центр,234,"Проблемы с зарядкой, но в целом нормальная"
2023-03-02,Ополаскиватель для рта,Юг,231,"Отличное качество, довольны покупкой"
2023-03-03,Ополаскиватель для рта,Восток,173,"Хороший выбор, но цена немного завышена"
2023-03-04,Зубная нить,Запад,195,"Хороший выбор, но цена немного завышена"
2023-03-05,Ортопедические вставки,Центр,61,"Отличное качество, довольны покупкой"
2023-03-06,Ополаскиватель для рта,Север,283,"Отлично, быстро расходуется и эффективно"
2023-03-07,Ортопедические вставки,Юг,229,"Цена оправдана качеством, доволен покупкой"
2023-03-08,Зубная нить,Север,243,"Нейтральный отзыв, работает как ожидалось"
2023-03-09,Зубная нить,Запад,245,"Отлично, быстро расходуется и эффективно"
2023-03-10,Ортопедические вставки,Центр,216,"Отлично, быстро расходуется и эффективно"
2023-03-11,Зубная нить,Юг,141,"Проблемы с зарядкой, но в целом нормальная"
2023-03-12,Ортопедические вставки,Центр,149,"Хороший выбор, но цена немного завышена"
2023-03-13,Зубная паста,Центр,267,Очень хороший эффект после использования
2023-03-14,Ополаскиватель для рта,Восток,293,"Отличное качество, довольны покупкой"
2023-03-15,Электрическая зубная щётка,Восток,251,"Очень понравился вкус, рекомендую"
2023-03-16,Электрическая зубная щётка,Юг,169,"Очень понравился вкус, рекомендую"
2023-03-17,Электрическая зубная щётка,Юг,142,"Отлично, быстро расходуется и эффективно"
2023-03-18,Зубная нить,Восток,97,"Нейтральный отзыв, работает как ожидалось"
2023-03-19,Электрическая зубная щётка,Запад,45,"Отлично, быстро расходуется и эффективно"
2023-03-20,Зубная нить,Запад,68,"Хороший выбор, но цена немного завышена"
2023-03-21,Ополаскиватель для рта,Север,44,"Цена оправдана качеством, доволен покупкой"
2023-03-22,Зубная паста,Запад,121,Очень хороший эффект после использования
2023-03-02,Ополаскиватель для рта,Юг,231,"Отличное качество, довольны покупкой"
2023-03-03,Ополаскиватель для рта,Восток,173,"Хороший выбор, но цена немного завышена"
2023-03-04,Зубная нить,Запад,195,"Хороший выбор, но цена немного завышена"
2023-03-05,Ортопедические вставки,Центр,61,"Отличное качество, довольны покупкой"
2023-03-06,Ополаскиватель для рта,Север,283,"Отлично, быстро расходуется и эффективно"
2023-03-07,Ортопедические вставки,Юг,229,"Цена оправдана качеством, доволен покупкой"
2023-03-23,Ортопедические вставки,Юг,247,"Очень понравился вкус, рекомендую"
2023-03-24,Электрическая зубная щётка,Восток,138,"Проблемы с зарядкой, но в целом нормальная"
